1|Reece|1-1,2-4,3-5
2|Charde|4-5,5-3,6-21
3|Omar|79-5,3-5,9-3,55-5,68-4,41-5,5-3,70-2,54-5,36-4,72-5,64-2,43-5
4|Victor|49-3,53-1,1-2,61-4,19-3,35-5,16-5,14-5,64-1,10-3,26-1,39-3,57-1,9-3,91-4,65-4,16-4,49-2,41-3,92-5
5|Suki|66-5,40-4,73-1,58-3,80-1,93-2,75-5,29-4,98-2,99-4,26-2,12-2,90-1,94-2,31-3,15-1,90-5,2-2,90-4,54-2,74-4,92-2,77-2
6|Cedric|17-1,7-3,28-4,63-4,57-5,28-4,39-5
7|Cally|38-5,68-5,78-5,99-4,20-5
8|Tad|95-2,1-1,18-2,84-4,61-1,98-3,93-5,42-5,82-4,12-4,37-5,58-1
9|Beatrice|28-5,55-4,52-3,79-5,3-5,9-3,68-4,41-5,5-3,70-2,54-5,36-4,72-5,64-2,43-5
10|Serina|17-5,38-1,4-3,41-3,2-5,46-1,81-2
11|Vielka|81-1,22-1,81-2,79-1,81-1
12|Kylynn|87-5,99-4,69-2,23-5,23-4,52-3,15-5,65-2,4-3,80-5,97-5,82-1,27-3,36-5,26-2,86-3,57-3,24-2,72-4,26-1,49-4,45-1,71-5
13|Tamara|84-2,28-3,92-5,13-5,74-5,6-5,38-1,66-4,99-3,75-1,94-1,17-2,18-1,93-1,31-2
14|Macaulay|48-1,20-1,62-2,28-3,62-5,83-2,57-3,10-5,9-5,50-2,4-3,87-1,53-2,72-3,1-3,7-4,6-5,56-1,29-3,89-2,55-1,5-1,73-3,9-4
15|Regan|72-4,7-3,53-4,90-2,29-3,36-2,88-4,9-1
16|Alexandra|98-1,7-4,32-4,83-5,11-2,69-4,49-1,28-5,35-2,6-2,63-2,10-2,34-2,73-2,63-2,17-5,72-5
17|Emerald|59-2,21-2,16-3,32-4,99-1,12-5,89-4,10-4,25-4,46-2,69-3,67-5,53-2,89-1,54-2,23-2,75-3,87-5,74-4,81-5,92-4,48-5,75-5,70-4
18|Chase|28-3,85-1,90-3,65-5,37-4,60-4,77-1
19|Jeanette|8-2,95-1,55-4,53-3,14-4,65-3,72-1,42-3,83-4,75-5,5-4,93-1,1-1,18-5,16-2,49-3,33-3,53-5,77-1,9-5,72-5,17-3,74-5,84-2
20|Justine|36-4,11-1,22-3,57-4,12-4,100-1,38-5,31-5,23-5,96-4,85-1,6-5,48-4,76-4,89-3,80-5,14-1,88-4,38-5,28-4
21|Jaken|18-3,26-4,20-5,79-4,25-5,50-1,66-4,29-2,28-4,49-3
22|Lawrence|70-1,45-4,20-3,30-1,10-2,77-3
23|Geoffrey|60-4,57-1,92-1,22-4,74-1,13-2,45-5,46-5
24|Sharon|30-1,75-1,66-4,1-4,4-4,51-1,29-2,71-4,6-1,90-3,100-1,50-1,99-5,72-3,37-3,21-3,89-4,4-3,64-5,92-3,53-1,10-1,40-5,67-1,44-5
25|Brendan|86-4,37-5,20-3,76-4,93-5,79-2,96-5,75-3,89-4,90-4,27-1,30-4,27-2,72-1,65-1,48-2,20-1,14-1,80-4,35-5,47-4,85-1,40-3,73-1
26|Tate|23-5,41-4,31-1,93-3,79-3,83-5,32-2,29-2,40-1,16-5,50-3,43-3,55-5,68-5,32-3,55-2,30-3
27|Carter|96-5,86-5,77-3,70-3,77-4,42-5,33-4,81-1,45-1,90-1,3-3,11-2,53-2,48-5,53-3,3-2,79-3,99-5,66-5,76-2,40-5,34-4,95-4,44-3,48-4
28|Thane|36-2,88-5,100-1,86-1,74-4,93-3,52-4,89-3,29-2,90-4,34-4,7-3,6-2,72-3,69-5,65-1,41-3,10-1
29|Kellie|62-1,34-1,64-4,4-2,40-4,2-1,85-5,34-5
30|Stephanie|7-2,89-2,69-5,79-5,73-4,96-3
31|Larissa|33-5,76-1,32-5,45-2,40-2,5-2,20-3,5-5,15-3,28-5,93-5,54-1
32|Aurelia|49-4,67-4,30-4,5-2,58-3,62-4,75-3,88-2,51-1,13-5,84-5,71-4,6-4,45-2,10-2,80-5,7-3,78-4,90-4,92-5,51-2,100-3,13-1,95-3,69-4
33|Mona|35-1,22-2,83-2,64-2,83-5,62-2,75-3,86-4,70-2,5-2,24-3,77-1,4-5,8-1,2-2,19-5
34|Cameron|97-4,66-3,4-2,60-2,40-3,66-2,100-2,93-5,31-1,30-3,54-4,65-3,6-1,20-1,59-4,5-5
35|Ivor|99-4,2-4,62-2,48-1,20-2,68-2,15-2,98-1,96-3,92-1,51-1,85-4,28-3
36|Justine|48-1,6-1,51-3,54-4,82-2,53-5,97-1,38-2,80-4,43-5,99-5,89-2,86-5,36-3,48-2,22-2,77-1
37|Alexander|86-2,81-1,45-1,79-4,3-3,51-3,27-2,5-4,73-4,39-4,53-5,97-5,37-1,34-5
38|Zeus|78-5,43-5,92-3,92-3,95-1,51-2,68-4
39|Judith|86-4,19-3,76-2,99-4,23-1,6-2,67-5,43-5,27-4,60-4,17-2
40|Edan|68-2,28-1,100-4,84-4,89-2,48-2,53-3,11-5,12-3,8-2,30-5,88-3,4-3,5-5,46-5,98-3,50-2,73-3,71-2
41|Hilda|26-4,79-3,9-1,89-1,18-4,33-3,41-4,75-2,1-3,79-3,39-2,20-1,86-3,21-5,32-3,23-4,26-3,1-2,48-5,71-2,79-3,69-4,21-1,25-4,40-4
42|Karly|38-5,41-1,40-5,100-4,25-2,79-2,38-4
43|Eleanor|44-2,47-5,34-3,80-1,21-1,23-3
44|Dalton|10-4,91-5,71-4,26-5,8-3,18-1,79-4,94-1,88-5,41-3,71-3,67-5,80-2,48-5
45|Travis|60-4,26-3,34-2,98-4,68-3,9-1,70-4,61-1,20-3,21-3,33-5,69-1,3-3,80-4,29-1,75-4,78-4,58-5,49-1,46-2,92-4,32-4,90-1,31-1
46|Rhonda|99-5,41-2,30-1,95-5,14-3,50-5
47|Lance|55-4,27-1,100-1,58-2,74-4,32-3,69-1,39-2,59-2,48-5,92-3,86-5,34-4,18-1,92-1,15-5,87-3,80-4,67-3,94-4,59-5,2-2
48|Forrest|60-2,87-4,38-5,64-2,22-4,68-3,11-2,23-2,74-2,57-3,7-4,94-3,24-5,73-3,4-5,77-1,69-2,64-1,5-2,52-3,81-3
49|Ferdinand|59-3,99-4,10-4,42-4,10-1,39-3,10-3,35-3,68-4,98-3,43-1,28-2,68-3,24-5,92-2,4-4,78-4,22-1,69-3,42-4,38-3,43-3
